city,datetime,month,hour,air_temperature_c,relative_humidity_pct,wind_speed_mps,solar_elevation_deg,tmrt_c,utci_c,thermal_stress_category_he,thermal_stress_category_en
turin,2024-08-26T03:00,8,3,22.1,81,0.32,-17.3,15.61,20.21,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-26T06:00,8,6,20.9,85,1.2,12.4,16.26,19.76,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-26T09:00,8,9,24.1,64,1.71,42.6,39.2,28.94,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-26T12:00,8,12,26.4,50,2.85,54.7,47.26,32.64,עומס חום חזק,Strong Heat Stress
turin,2024-08-26T15:00,8,15,27.8,48,2.06,33.5,51.33,34.43,עומס חום חזק,Strong Heat Stress
turin,2024-08-26T18:00,8,18,29.3,43,2.2,2.2,50.59,35.34,עומס חום חזק,Strong Heat Stress
turin,2024-08-26T21:00,8,21,23.8,70,1.55,-25.1,17.1,22.11,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-27T00:00,8,0,21.2,83,1.17,-34.4,14.54,19.35,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-27T03:00,8,3,19.0,88,0.99,-17.5,18.71,19.37,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-27T06:00,8,6,18.2,96,1.22,12.2,12.83,16.69,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-27T09:00,8,9,21.3,84,3.21,42.3,39.34,27.19,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-27T12:00,8,12,23.2,69,2.2,54.4,44.08,29.56,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-27T15:00,8,15,29.5,40,1.71,33.2,56.47,36.83,עומס חום חזק,Strong Heat Stress
turin,2024-08-27T18:00,8,18,30.2,33,0.92,1.9,48.75,35.73,עומס חום חזק,Strong Heat Stress
turin,2024-08-27T21:00,8,21,24.1,69,1.1,-25.4,24.1,24.61,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-28T00:00,8,0,20.3,89,0.95,-34.7,13.7,18.39,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-28T03:00,8,3,20.2,79,2.21,-17.8,13.88,18.45,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-28T06:00,8,6,19.1,77,0.95,12.0,13.0,17.35,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-28T09:00,8,9,22.7,59,0.5,42.1,38.03,27.97,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-28T12:00,8,12,29.8,39,0.81,54.0,53.62,36.61,עומס חום חזק,Strong Heat Stress
turin,2024-08-28T15:00,8,15,31.9,36,1.41,32.9,57.96,38.89,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-28T18:00,8,18,31.4,36,1.0,1.6,49.19,36.64,עומס חום חזק,Strong Heat Stress
turin,2024-08-28T21:00,8,21,25.9,55,1.33,-25.8,18.82,24.22,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-29T00:00,8,0,22.5,71,1.14,-35.1,15.46,20.6,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-29T03:00,8,3,19.8,79,0.7,-18.0,12.58,17.59,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-29T06:00,8,6,18.5,84,1.39,11.8,12.59,16.82,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-29T09:00,8,9,23.2,55,0.5,41.8,39.86,28.81,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-29T12:00,8,12,31.3,32,0.54,53.6,54.54,37.92,עומס חום חזק,Strong Heat Stress
turin,2024-08-29T15:00,8,15,33.7,26,0.91,32.6,58.16,40.37,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-29T18:00,8,18,33.4,25,1.81,1.3,50.71,38.4,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-29T21:00,8,21,25.7,55,1.91,-26.1,18.33,23.94,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-30T00:00,8,0,22.0,70,1.6,-35.4,14.78,20.03,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-30T03:00,8,3,20.8,74,0.63,-18.3,13.54,18.62,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-30T06:00,8,6,18.7,80,0.58,11.6,15.5,17.95,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-30T09:00,8,9,23.6,53,0.22,41.6,39.43,28.94,עומס חום בינוני,Moderate Heat Stress
turin,2024-08-30T12:00,8,12,31.6,36,0.5,53.3,55.06,38.24,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-30T15:00,8,15,33.4,31,1.43,32.3,59.26,40.26,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-30T18:00,8,18,32.9,29,1.3,1.0,53.26,38.62,עומס חום חזק מאוד,Very Strong Heat Stress
turin,2024-08-30T21:00,8,21,26.2,54,1.14,-26.5,18.92,24.46,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-31T00:00,8,0,22.4,76,1.32,-35.8,16.18,20.79,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
turin,2024-08-31T03:00,8,3,21.3,69,1.24,-18.5,20.28,21.46,אזור נוחות תרמית (ללא עומס),No Thermal Stress (Comfort)
